symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Dental,Toothache – worse cold,Toothache worse from cold; better warmth; pain shoots to ear; cannot sleep,Magnesia carbonica,Magnesium Carbonate,30C,3–5 pellets,Every 30–60 min in acute,Warmth,"Cold, night, touch",Toothache during pregnancy; sour perspiration; sour vomit,Psora,Magnesium carbonate salt,Toothache in pregnancy,
Paediatric,ADHD – hyperactive,Impulsive; restless; short attention span; cannot sit still; destructive,Veratrum album,White Hellebore,30C,3–5 pellets,Twice daily (under guidance),Rest,"Cold, night, fright, exertion",Excess of everything; overactive; religious mania; coldness of body,Psora/Syphilis,Root Veratrum album,Constitutional treatment essential,
Infections,Cellulitis,Spreading red inflammation; streaks; heat; swelling; pitting oedema,Apis mellifica,Honey Bee,30C,3–5 pellets,Every 2–3 hrs in acute,Cold applications,"Heat, pressure, touch, 3 pm",Stinging burning pains; oedema; no thirst; rosy hue,Sycosis,Honey bee Apis mellifica,Any oedematous condition,
Digestive,Constipation – no urge,Constipation with absolutely no desire for stool; large hard dry stool; shy rectum,Opium,Opium Poppy,30C,3–5 pellets,Once or twice daily,"Cold water, uncovering","Warmth, stimulants",Inactivity of bowels; stool like black balls; painless; indifferent,Psora/Syphilis,Dried latex Papaver somniferum,Inactivity is keynote,
Mental,OCD / perfectionism,Obsessive compulsive traits; anxiety about health; fastidious; fears germs,Arsenicum album,White Arsenic,30C,3–5 pellets,Twice daily,"Warmth, warmth of bed, company","Cold, midnight, alone",Need for order and cleanliness; fear of poverty; restless anxious,Psora/Tubercular,White arsenic trioxide,Classic perfectionist type,
Digestive,Hepatitis,Liver enlarged and tender; jaundice; nausea; worse fatty foods,Lycopodium clavatum,Club Moss,30C,3–5 pellets,Twice daily,"Warm drinks, cold applications","4–8 pm, tight clothing, right side",Bloating; flatulence; liver and kidney affections; 4–8 pm aggravation,Psora/Sycosis,Spores Lycopodium clavatum,Time aggravation 4–8 pm is keynote,
Skin,Herpes – simplex,"Burning vesicular eruptions around mouth; worse fever, sun exposure",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Continuous motion, warmth","Rest, cold, first motion",Intense itching and burning; restlessness; triangle of red on tip of tongue,Psora/Sycosis,Leaves Toxicodendron radicans,Classic for herpes and shingles,
Fever,High fever with delirium,Burning high fever; red hot face; dilated pupils; throbbing; delirium; photophobia,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,"Cool room, semi-erect","Light, noise, cold, motion, jar",Rapid violent onset; red hot dry skin; throbbing carotids,Psora,Berries and root Atropa belladonna,After Aconite when sweating begins,
Mental,Anger – suppressed,Ill effects of suppressed anger; ailments from vexation; trembling with anger,Staphysagria,Stavesacre,30C,3–5 pellets,3 times daily,Open air,"Touch, indignation, loss of sleep, sexual excess",Wounded pride; very sensitive; cystitis after intercourse; styes,Psora,Seeds Delphinium staphisagria,Honeymoon cystitis; after surgery,
Musculoskeletal,Sprains – tendons and ligaments,"Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking",Ruta graveolens,Rue,30C,3–5 pellets,3 times daily,"Lying on back, warmth","Rest, cold, damp",All parts feel lame bruised sore; periosteum and tendons; eye strain,Psora,Whole plant Ruta graveolens,Tendons and periosteum remedy,
Musculoskeletal,Fibromyalgia,All-over body aching; worse cold; fatigue; sleep disturbance; tender points,Arnica montana,Mountain Arnica,200C,3–5 pellets,Twice weekly,"Rest, lying down","Touch, motion, damp cold",Bruised sore feeling; bed feels too hard; hypersensitive to touch,Psora,Whole plant Arnica montana,Constitutional treatment needed,
Respiratory,Rattling loose cough,Rattling cough with inability to expectorate; chest full of mucus; worse 4–6 am,Antimonium tartaricum,Tartar Emetic,30C,3–5 pellets,Every 2–3 hrs,"Sitting up, eructation","Lying down, 4 am, warmth",Rattling chest; extreme weakness; pale and sweaty,Sycosis,Tartrate of antimony and potash,Keynote: rattling with inability to raise mucus,
Digestive,"Colic – infant, better motion",Colic better from rocking and motion; better warmth; colicky baby wants to be carried,Chamomilla,Chamomile,30C,3–5 pellets,Every 30–60 min in acute,"Warm wet weather, being carried, motion","Anger, cold wind, dentition",Extreme irritability; one cheek red one pale; teething; unbearable pain,Psora,Whole plant Matricaria chamomilla,Keynote: child can only be quieted by carrying,
Digestive,"Colic – infant, better motion",Colic better from rocking and motion; better warmth; colicky baby wants to be carried,Chamomilla,Chamomile,30C,3–5 pellets,Every 30–60 min in acute,"Warm wet weather, being carried, motion","Anger, cold wind, dentition",Extreme irritability; one cheek red one pale; teething; unbearable pain,Psora,Whole plant Matricaria chamomilla,Keynote: child can only be quieted by carrying,
Cardiovascular,Palpitations from anxiety,Heart palpitations; worse lying on left side; anxiety; fear,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,Twice daily,"Open air, cold applications","Sleep, pressure, hot drinks, lying on left side",Left-sided; worse after sleep; jealous; talkative; cannot bear tight clothing,Syphilis,Venom Lachesis muta snake,,
Digestive,Constipation,No urge for stool; hard dry stool; ineffectual urging; sedentary lifestyle,Nux vomica,Poison Nut,30C,3–5 pellets,Twice daily,"Open air, damp weather","Morning, mental exertion, stimulants",Constant ineffectual urging; irritable bowel; incomplete evacuation feeling,Psora,Seeds Strychnos nux-vomica,Classic sedentary person remedy,
Digestive,Hepatitis,Liver enlarged and tender; jaundice; nausea; worse fatty foods,Lycopodium clavatum,Club Moss,30C,3–5 pellets,Twice daily,"Warm drinks, cold applications","4–8 pm, tight clothing, right side",Bloating; flatulence; liver and kidney affections; 4–8 pm aggravation,Psora/Sycosis,Spores Lycopodium clavatum,Time aggravation 4–8 pm is keynote,
ENT,Vertigo,Vertigo with nausea; worse looking down or upward; better closing eyes,Conium maculatum,Hemlock,30C,3–5 pellets,Twice daily,Lying down,"Motion of head, looking down or up",Gradually increasing paralysis from below upward; dizziness worse from turning head,Syphilis,Whole plant Conium maculatum,Progressive neurological remedy,
Digestive,Haemorrhoids,Large purple painful haemorrhoids; worse after stool; burning; bleeding,Aesculus hippocastanum,Horse Chestnut,30C,3–5 pellets,3 times daily,Cool bathing,"Standing, walking",Fullness in rectum; backache accompanying haemorrhoids; dry purple piles,Psora,Seeds Aesculus hippocastanum,Sacral backache with piles is characteristic,
Metabolic,Hypothyroidism,Weight gain; cold intolerance; fatigue; hair loss; constipation; mental dullness,Calcarea carbonica,Oyster Shell Calcium,30C,3–5 pellets,Twice weekly,Dry weather,"Cold, damp, exertion, new moon",Cold sweaty feet and head; craves eggs; obstinate; slow,Psora,Middle layer oyster shell Ostrea edulis,Classic hypothyroid constitution,
Neurological,Depression – grief,Depression after grief or loss; brooding; cannot cry; feels forsaken,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, fasting, sweating","Seashore, heat, consolation, 9–11 am",Ailments from grief; cannot cry in public; introvert; thirst++; maps tongue,Psora,Sodium chloride NaCl,Never well since grief,
ENT,Vertigo,Vertigo with nausea; worse looking down or upward; better closing eyes,Conium maculatum,Hemlock,30C,3–5 pellets,Twice daily,Lying down,"Motion of head, looking down or up",Gradually increasing paralysis from below upward; dizziness worse from turning head,Syphilis,Whole plant Conium maculatum,Progressive neurological remedy,
Urinary,"UTI – scalding, must hurry",Must run to urinate; scalding urine; worse sitting; tenesmus of bladder,Mercurius corrosivus,Corrosive Sublimate,30C,3–5 pellets,Every 2–3 hrs,Rest,"Night, sweat",Intense tenesmus; never-get-done feeling; bloody urine,Syphilis,Mercuric chloride compound,Most intense tenesmus of any remedy,
Trauma,Puncture wounds,Deep narrow puncture wounds; insect stings; nails; needles; prevents tetanus,Ledum palustre,Marsh Labrador Tea,30C,3–5 pellets,Every 2–3 hrs for 24–48 hrs,Cold applications,"Warmth, motion, night",Cold relieves; part is cold to touch; ecchymosis; black eye from blow,Psora,Whole plant Ledum palustre,Cold applications relieve is keynote,
Neurological,Insomnia – sleepless after loss,"Sleeplessness after grief, disappointment, or loss of loved one",Ignatia amara,St Ignatius Bean,30C,3–5 pellets,At bedtime,"Eating, change of position, warmth","Grief, emotional upset, morning coffee",Silent grief; sighing; lump in throat; contradictory symptoms,Psora,Seeds Strychnos ignatii,Hysterical symptoms; sighing,
Musculoskeletal,Backache – lumbar,"Lower back pain; worse first motion, better continued motion; worse cold damp",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3–4 times daily,"Continued motion, heat, dry weather","Rest, first motion, cold wet",Stiffness; lame bruised feeling; restlessness,Psora,Leaves Toxicodendron radicans,Classic lumbago remedy,
Digestive,Diarrhoea – watery,Watery profuse painless diarrhoea; like a tap opened; no urgency; worse 5 am,Podophyllum peltatum,May Apple,30C,3–5 pellets,Every 2–3 hrs,"Lying on stomach, rubbing abdomen","Morning, 4–5 am, hot weather, teething",Gushing profuse stool; offensive; liver complaints; teething children,Psora,Root Podophyllum peltatum,Gurgling before stool is keynote,
Respiratory,Influenza,Aching bones as if broken; high fever; chills; heavy eyelids; thirst absent,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,Every 3–4 hrs,"Stimulants, sweating","Damp weather, emotion, bad news",Droopy eyes; weakness; dizziness; no thirst despite fever,Psora,Root bark Gelsemium sempervirens,Classic flu remedy; anticipatory anxiety,
Skin,Psoriasis,Thick silvery scales; red patches; worse in winter; itching,Arsenicum iodatum,Arsenic Iodide,30C,3–5 pellets,Twice daily,"Dry weather, motion","Cold, winter, night",Persistent irritating corrosive discharge; emaciation; psoriatic arthritis,Tubercular,Arsenic iodide compound,Deep acting for resistant psoriasis,
Neurological,Depression – grief,Depression after grief or loss; brooding; cannot cry; feels forsaken,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, fasting, sweating","Seashore, heat, consolation, 9–11 am",Ailments from grief; cannot cry in public; introvert; thirst++; maps tongue,Psora,Sodium chloride NaCl,Never well since grief,
Musculoskeletal,Backache – better lying,Backache with great weakness; must lie down; worse standing; better pressure,Nux vomica,Poison Nut,30C,3–5 pellets,3 times daily,"Lying, warm applications","Morning, mental exertion, cold",Spasmodic backache; cannot turn in bed; must sit up to turn,Psora,Seeds Strychnos nux-vomica,Spasmodic element is keynote,
Trauma,Post-surgical recovery,After surgery; prevents sepsis; promotes healing; reduces bruising from incisions,Staphysagria,Stavesacre,30C,3–5 pellets,Twice daily for 1 week post surgery,,,Incised wounds; consequences of surgical procedures; indignation; hypersensitivity,Psora,Seeds Delphinium staphisagria,Classic post-surgical remedy after Arnica,
Digestive,Acute indigestion,Heartburn; sour eructations; nausea; worse after eating; better vomiting,Nux vomica,Poison Nut,30C,3–5 pellets,"3 times daily, after meals","Vomiting, open air","After eating, morning, cold",Oversensitive; irritable; sedentary; overindulgence in food/drink/coffee,Psora,Seeds Strychnos nux-vomica,Classic remedy for over-indulgence,
Skin,Vitiligo,White patches on skin; loss of pigmentation; nervous system involvement,Arsenicum sulphuratum flavum,Arsenic Trisulphide,30C,3–5 pellets,Twice daily,Warmth,"Cold, night",Skin complaints with nervous symptoms; malnourishment,Psora/Syphilis,Arsenic trisulphide compound,Constitutional treatment required,
ENT,Earache – throbbing,Throbbing earache; high fever; worse right side; child cries out in sleep,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,"Warmth, semi-erect position","Motion, jar, light, noise",Sudden onset; high fever; hot red face; drum-like fullness,Psora,Berries and root Atropa belladonna,Classic otitis media remedy,
Digestive,Hepatitis,Liver enlarged and tender; jaundice; nausea; worse fatty foods,Lycopodium clavatum,Club Moss,30C,3–5 pellets,Twice daily,"Warm drinks, cold applications","4–8 pm, tight clothing, right side",Bloating; flatulence; liver and kidney affections; 4–8 pm aggravation,Psora/Sycosis,Spores Lycopodium clavatum,Time aggravation 4–8 pm is keynote,
ENT,Earache – chronic otitis,Chronic ear discharge; offensive pus; worse cold drafts; very sensitive,Hepar sulphuris calcareum,Calcium Sulphide,30C,3–5 pellets,3 times daily,"Warmth, wrapping ears","Cold, draft, touch",Extreme cold and touch sensitivity; splinter-like pains; offensive pus,Psora,Calcium sulphide compound,Protects from cold at all costs,
Musculoskeletal,Arthritis – better rest,Stitching pains; worse any motion; joints hot red swollen; must keep still,Bryonia alba,White Bryony,30C,3–5 pellets,3 times daily,"Absolute rest, pressure","Any motion, touch",Intense aggravation from any motion; irritable; thirsty for large quantities,Psora,Root Bryonia alba,Opposite of Rhus tox,
Dental,Abscess – dental,Dental abscess; swollen face; extreme pain; worse cold; wants to wrap face,Hepar sulphuris calcareum,Calcium Sulphide,6C (promotes drainage),3–5 pellets,3 times daily,Warmth,"Cold, drafts, touch",Promotes suppuration; splinter-like pains; offensive pus; hypersensitive,Psora,Calcium sulphide compound,6C promotes; 200C can abort abscess,
Respiratory,Dry cough,"Hard dry teasing cough; worse talking, eating, lying down; stitching chest pain",Bryonia alba,White Bryony,30C,3–5 pellets,3 times daily,"Absolute rest, pressure on painful side","Any motion, deep breath",Every symptom worse from slightest motion; wants to lie still,Psora,Root Bryonia alba,Great dryness of all mucous membranes,
Cardiovascular,Hypertension,High blood pressure; throbbing headache; red face; excitement aggravation,Gloninum,Nitroglycerin,30C,3–5 pellets,Twice daily,Open air,"Heat, sun, exertion, wine",Blood surges to head; forgets well-known streets; confusion,Psora,Nitroglycerin compound,,
Trauma,Puncture wounds,Deep narrow puncture wounds; insect stings; nails; needles; prevents tetanus,Ledum palustre,Marsh Labrador Tea,30C,3–5 pellets,Every 2–3 hrs for 24–48 hrs,Cold applications,"Warmth, motion, night",Cold relieves; part is cold to touch; ecchymosis; black eye from blow,Psora,Whole plant Ledum palustre,Cold applications relieve is keynote,
